GroupName, GroupOrder, E(G)value, E(G)value_decimal
S3,6,12/5,2.3999999999999999
S4,24,66/23,2.8695652173913042
S5,120,470/119,3.9495798319327733
S6,720,3270/719,4.5479833101529898
S7,5040,31332/5039,6.2179003770589398
S8,40320,299222/40319,7.4213646171780052
S9,362880,299226/32989,9.0704780381339241
S10,3628800,39020910/3628799,10.753119696075753
S11,39916800,2461360/180619,13.627359247919655
S12,479001600,7466726982/479001599,15.588104502340085
S13,6227020800,118551513522/6227020799,19.038239528770845
S14,87178291200,1917378505406/87178291199,21.993761050319758
S15,1307674368000,32405299019940/1307674367999,24.780862738425093
S16,20922789888000,608246253790590/20922789887999,29.070991825018087
S17,355687428096000,12219834139189262/355687428095999,34.355541337522808
S18,6402373705728000,253767339725277822/6402373705727999,39.636446010366484
S19,121645100408832000,5591088918313739016/121645100408831999,45.962302628900623
S20,2432902008176640000,126036990829657056710/2432902008176639999,51.805206459637311
S21,51090942171709440000,128546249809190973270/2221345311813453913,57.868647943011091
S22,1124000727777607680000,74190017629329241092222/1124000727777607679999,66.005311025037273
S23,25852016738884976640000,1965321944810440605193772/25852016738884976639999,76.021997226016296
S24,620448401733239439360000,53439499039059154520966766/620448401733239439359999,86.130448381806559
S25,15511210043330985984000000,1491721729495014767541555270/15511210043330985983999999,96.170558281903837
S26,403291461126605635584000000,43611452194141782700948754270/403291461126605635583999999,108.13879389440085
S27,10888869450418352160768000000,1308199256915117829237028942512/10888869450418352160767999999,120.14096255556234
S28,304888344611713860501504000000,40871467844496156740863101996822/304888344611713860501503999999,134.05388748640891
S29,8841761993739701954543616000000,1334181474884034593427977125133906/8841761993739701954543615999999,150.89542964724507
S30,265252859812191058636308480000000,45121443207157744404094764295367070/265252859812191058636308479999999,170.10728268530417
S31,8222838654177922817725562880000000,1558266604595626796283748491858304020/8222838654177922817725562879999999,189.50470392653162
S32,263130836933693530167218012160000000,54834955961570696145094370005700363582/263130836933693530167218012159999999,208.39425967922028
S33,8683317618811886495518194401280000000,1981666259166295791521094323568937891422/8683317618811886495518194401279999999,228.21533728918715
S34,295232799039604140847618609643520000000,74961202726762756817494860772434985993086/295232799039604140847618609643519999999,253.9054026876839
S35,10333147966386144929666651337523200000000,2880513261233308407666047267637981571511960/10333147966386144929666651337523199999999,278.76434854157253
A3,3,3,3.
A4,12,30/11,2.7272727272727271
A5,60,210/59,3.5593220338983049
A6,360,1410/359,3.9275766016713094
A7,2520,12600/2519,5.0019849146486699
A8,20160,137046/20159,6.7982538816409548
A9,181440,1516830/181439,8.3599997795402317
A10,1814400,584250/58529,9.9822310307710715
A11,19958400,223179000/19958399,11.182209554984846
A12,239500800,2973194070/239500799,12.414130067265454
A13,3113510400,46287964866/3113510399,14.866809142781989
A14,43589145600,835826439630/43589145599,19.175104906143769
A15,653837184000,15722804528340/653837183999,24.046972110359583
A16,10461394944000,292673102609790/10461394943999,27.976489194462246
A17,177843714048000,5177400032329230/177843714047999,29.112077759081657
A18,3201186852864000,102538737981192606/3201186852863999,32.031475416517623
A19,60822550204416000,2284570602107946600/60822550204415999,37.561243230180708
A20,1216451004088320000,52889947305486263430/1216451004088319999,43.478896501158388
A21,25545471085854720000,1383094776042177419130/25545471085854719999,54.142465073115751
A22,562000363888803840000,35473249250584211527230/562000363888803839999,63.119619718970277
A23,12926008369442488320000,857709203012167441790316/12926008369442488319999,66.355303083341667
A24,310224200866619719680000,21786229199389181726087790/310224200866619719679999,70.227368266333698
A25,7755605021665492992000000,635784417194835546472448070/7755605021665492991999999,81.977410584829244
A26,201645730563302817792000000,19904777024707624744412879070/201645730563302817791999999,98.71162146157566
A27,5444434725209176080384000000,617906446172336505164206639920/5444434725209176080383999999,113.4932233297363
A28,152444172305856930250752000000,18764546046100828555682054273046/152444172305856930250751999999,123.091265230215
A29,4420880996869850977271808000000,580200572936007608549547778688850/4420880996869850977271807999999,131.24093893203894
A30,132626429906095529318154240000000,18515776977863183256594835249879710/132626429906095529318154239999999,139.6085002889171
A31,4111419327088961408862781440000000,647190075462131407299528038372151060/4111419327088961408862781439999999,157.41281148288181
A32,131565418466846765083609006080000000,24574469435804129556604149857002079550/131565418466846765083609006079999999,186.78517289858098
A33,4341658809405943247759097200640000000,937930580391636534491411569771363415646/4341658809405943247759097200639999999,216.03046705551029
A34,147616399519802070423809304821760000000,35336873880561799692194553805512338613630/147616399519802070423809304821759999999,239.38311729261162
A35,5166573983193072464833325668761600000000,1332487486219741662699734292146395659394200/5166573983193072464833325668761599999999,257.90543028210561
